PRODUCT_ID,DEPARTMENT_NAME,HEIGHT_INCHES,WIDTH_INCHES,DEPTH_INCHES,WEIGHT_GRAMS
70852,Beverages,8,3.62,2.36,3.54E+02
70856,Beverages,,,,3.18E+01
70862,Beverages,5.78,3.78,,2.13E+02
70868,Beverages,7.35,4.25,3.2,3.58E+02
70871,Beverages,7.35,4.25,3.2,3.58E+02
70875,Beverages,5.79,3.77,,1.81E+02
70891,Beverages,3.44,5.77,,2.97E+02
70902,Beverages,5.13,3.05,,3.18E+01
70907,Beverages,,,,5.06E+02
70911,Beverages,4.8,3.06,,3.27E+02
70927,Beverages,2.68,4.21,2.86,2.77E+02
70934,Beverages,6.26,3.41,1.28,2.27E+01
70942,Beverages,5.79,3.78,,2.09E+02
70949,Beverages,5.39,6.25,6.21,9.09E+02
70956,Beverages,,,,6.80E+01
70957,Beverages,3.13,2.74,,8.16E+01
70958,Beverages,3.15,5.22,2.73,8.39E+01
70959,Beverages,3.13,5.21,,7.71E+01
70960,Beverages,3.13,2.74,,8.62E+01
70963,Beverages,3.13,5.21,,7.48E+01
70964,Beverages,3.13,5.2,2.68,6.80E+01
70967,Beverages,3.13,2.74,,7.71E+01
70969,Beverages,3.13,2.74,,7.71E+01
70970,Beverages,8.13,3.27,3.27,4.90E+02
70973,Beverages,6,3.19,3.18,3.79E+02
70979,Beverages,6,3.19,3.18,3.68E+02
70986,Beverages,6.55,6.53,2.53,1.75E+02
70988,Beverages,5.15,5.14,2.6,6.40E+01
70993,Beverages,8.26,3.73,,9.91E+02
70995,Beverages,,,,1.11E+02
70998,Beverages,6.55,3.95,,3.45E+02
71000,Beverages,5.67,6.64,2.53,2.30E+02
71001,Beverages,5.17,3.15,,8.85E+01
71009,Beverages,5.17,3.15,,7.94E+01
71013,Beverages,3.12,5.21,,6.80E+01
71015,Beverages,3.15,5.22,2.73,8.85E+01
71016,Beverages,3.16,5.22,,8.62E+01
71018,Beverages,3.15,5.23,,9.07E+01
71020,Beverages,3.13,2.74,,8.16E+01
71026,Beverages,3.15,5.22,,7.71E+01
